,oai,datestamp,language,speaker,doi,length,uri,requires,type
2307,oai:crdo.vjf.cnrs.fr:cocoon-09b9c099-a6b7-4ed2-bb3b-70f5e9eace16,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000120,384.0,,,narrative
2308,oai:crdo.vjf.cnrs.fr:cocoon-41bcb372-9c8f-448a-b2cb-9464cef9f84d,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000121,,https://cocoon.huma-num.fr/data/ridge/20150415a_h02s125.xml,oai:crdo.vjf.cnrs.fr:cocoon-09b9c099-a6b7-4ed2-bb3b-70f5e9eace16,
2309,oai:crdo.vjf.cnrs.fr:cocoon-f6283066-bee1-4975-bc57-40a63328e308,2020-11-29,Vatlongos,Bell Mansen,10.24397/PANGLOSS-0000122,408.0,,,narrative
2310,oai:crdo.vjf.cnrs.fr:cocoon-558fb3ce-97d7-448e-9744-2cd0d1dcfeaf,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000123,,https://cocoon.huma-num.fr/data/ridge/20150419c_h01m004.xml,oai:crdo.vjf.cnrs.fr:cocoon-f6283066-bee1-4975-bc57-40a63328e308,
2311,oai:crdo.vjf.cnrs.fr:cocoon-6c7af9ca-15b6-48ad-86ea-f341ef13cf5f,2020-11-29,Vatlongos,Madleen Ben,10.24397/PANGLOSS-0000124,308.0,,,narrative
2312,oai:crdo.vjf.cnrs.fr:cocoon-36e7c95d-a07e-4576-b67a-f7daf761d179,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000125,,https://cocoon.huma-num.fr/data/ridge/20150419d_h01s046.xml,oai:crdo.vjf.cnrs.fr:cocoon-6c7af9ca-15b6-48ad-86ea-f341ef13cf5f,
2313,oai:crdo.vjf.cnrs.fr:cocoon-bf76de86-0211-42fc-8d75-a1973b919dff,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000126,263.0,,,narrative
2314,oai:crdo.vjf.cnrs.fr:cocoon-88d9d19a-67cf-4d64-96d9-1ab485a22e81,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000127,,https://cocoon.huma-num.fr/data/ridge/20170119f_n01s136.xml,oai:crdo.vjf.cnrs.fr:cocoon-bf76de86-0211-42fc-8d75-a1973b919dff,
2315,oai:crdo.vjf.cnrs.fr:cocoon-40f903cf-6467-4495-94de-627347179408,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000128,194.0,,,narrative
2316,oai:crdo.vjf.cnrs.fr:cocoon-5b45d2dd-cbc0-4004-a133-f6fde40068e9,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000129,,https://cocoon.huma-num.fr/data/ridge/20170126c_n01e025.xml,oai:crdo.vjf.cnrs.fr:cocoon-40f903cf-6467-4495-94de-627347179408,
2317,oai:crdo.vjf.cnrs.fr:cocoon-e6bcdf1e-59fe-410f-ab6d-8100b034719a,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000130,193.0,,,
2318,oai:crdo.vjf.cnrs.fr:cocoon-df00687f-0870-4a9b-89fe-9e13218fe95d,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000131,,https://cocoon.huma-num.fr/data/ridge/20170217e_n01s142.xml,oai:crdo.vjf.cnrs.fr:cocoon-e6bcdf1e-59fe-410f-ab6d-8100b034719a,
2319,oai:crdo.vjf.cnrs.fr:cocoon-4c793ed6-b06d-4765-bbba-74551033f974,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000132,399.0,,,narrative
2320,oai:crdo.vjf.cnrs.fr:cocoon-939cea45-b07e-4d84-a04b-70fd6dad24b0,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000133,,https://cocoon.huma-num.fr/data/ridge/20170218b_n01s144.xml,oai:crdo.vjf.cnrs.fr:cocoon-4c793ed6-b06d-4765-bbba-74551033f974,
2321,oai:crdo.vjf.cnrs.fr:cocoon-2cf59e14-f3f4-4d73-826c-2beb1bc2603d,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000134,407.0,,,
2322,oai:crdo.vjf.cnrs.fr:cocoon-5070318b-fb2b-4899-a010-a32cce0278af,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000135,,https://cocoon.huma-num.fr/data/ridge/20170220c_h01s146.xml,oai:crdo.vjf.cnrs.fr:cocoon-2cf59e14-f3f4-4d73-826c-2beb1bc2603d,
2323,oai:crdo.vjf.cnrs.fr:cocoon-13d14e09-c20d-4f17-afed-731f56796850,2020-11-29,Vatlongos,Johnson,10.24397/PANGLOSS-0000136,168.0,,,
2324,oai:crdo.vjf.cnrs.fr:cocoon-bf654940-797c-4c4d-87f4-6352e91ac799,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000137,,https://cocoon.huma-num.fr/data/ridge/20170220e_n01s147.xml,oai:crdo.vjf.cnrs.fr:cocoon-13d14e09-c20d-4f17-afed-731f56796850,
2325,oai:crdo.vjf.cnrs.fr:cocoon-dad2e6bf-8ceb-4db6-acc7-5dbcaa47083d,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000138,328.0,,,
2326,oai:crdo.vjf.cnrs.fr:cocoon-456dd683-3bf8-4ae7-9464-cbeec8f02d7d,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000139,,https://cocoon.huma-num.fr/data/ridge/20170220g_n01s148.xml,oai:crdo.vjf.cnrs.fr:cocoon-dad2e6bf-8ceb-4db6-acc7-5dbcaa47083d,
2327,oai:crdo.vjf.cnrs.fr:cocoon-6bad4330-e27c-4405-b5a6-646eb47c6e12,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000140,227.0,,,
2328,oai:crdo.vjf.cnrs.fr:cocoon-4c3f8ef1-a490-41e1-956f-00de588c7c0b,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000141,,https://cocoon.huma-num.fr/data/ridge/20170220i_n01e149.xml,oai:crdo.vjf.cnrs.fr:cocoon-6bad4330-e27c-4405-b5a6-646eb47c6e12,
2329,oai:crdo.vjf.cnrs.fr:cocoon-1fa9b850-d30d-4a3f-9f91-0fb1a3b67efe,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000142,160.0,,,narrative
2330,oai:crdo.vjf.cnrs.fr:cocoon-3a7a04a0-8d1c-46a1-b7f7-925f4249176f,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000143,,https://cocoon.huma-num.fr/data/ridge/20170221e_n01o150.xml,oai:crdo.vjf.cnrs.fr:cocoon-1fa9b850-d30d-4a3f-9f91-0fb1a3b67efe,
2331,oai:crdo.vjf.cnrs.fr:cocoon-33219363-3a6c-4439-95be-df45fb1b72a3,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000144,315.0,,,narrative
2332,oai:crdo.vjf.cnrs.fr:cocoon-42f91690-7df2-4d90-ae2d-459568f55c37,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000145,,https://cocoon.huma-num.fr/data/ridge/20170222b_n01o151.xml,oai:crdo.vjf.cnrs.fr:cocoon-33219363-3a6c-4439-95be-df45fb1b72a3,
2333,oai:crdo.vjf.cnrs.fr:cocoon-016bd5a4-ed75-47e1-a719-ec542d9a2bc5,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000146,622.0,,,narrative
2334,oai:crdo.vjf.cnrs.fr:cocoon-3260737f-6f84-47dc-a65e-ecf5842e5485,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000147,,https://cocoon.huma-num.fr/data/ridge/20170222d_n01s152.xml,oai:crdo.vjf.cnrs.fr:cocoon-016bd5a4-ed75-47e1-a719-ec542d9a2bc5,
2335,oai:crdo.vjf.cnrs.fr:cocoon-a06599c9-aae4-476d-b7a6-071b491fc587,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000148,287.0,,,
2336,oai:crdo.vjf.cnrs.fr:cocoon-f8e48ad5-6529-4f9d-8353-8cba1727eaa7,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000149,,https://cocoon.huma-num.fr/data/ridge/20170222f_n01s153.xml,oai:crdo.vjf.cnrs.fr:cocoon-a06599c9-aae4-476d-b7a6-071b491fc587,
2337,oai:crdo.vjf.cnrs.fr:cocoon-74c164d7-5c20-4028-9918-9101c60d9fac,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000150,410.0,,,
2338,oai:crdo.vjf.cnrs.fr:cocoon-e5346b72-859d-4e73-81b1-90f166dd0297,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000151,,https://cocoon.huma-num.fr/data/ridge/20170222h_h01o154.xml,oai:crdo.vjf.cnrs.fr:cocoon-74c164d7-5c20-4028-9918-9101c60d9fac,
2339,oai:crdo.vjf.cnrs.fr:cocoon-f9e835b4-b557-43f1-b784-a41a7b6f8a89,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000152,1195.0,,,narrative
2340,oai:crdo.vjf.cnrs.fr:cocoon-88dc63a7-3042-4c32-874f-c4791b7b7a4b,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000153,,https://cocoon.huma-num.fr/data/ridge/20170224a_n01s141.xml,oai:crdo.vjf.cnrs.fr:cocoon-f9e835b4-b557-43f1-b784-a41a7b6f8a89,
2341,oai:crdo.vjf.cnrs.fr:cocoon-3aada238-ae78-4872-a9df-1fd72295ed2b,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000154,189.0,,,narrative
2342,oai:crdo.vjf.cnrs.fr:cocoon-1323a7cb-74c3-4b1e-866f-99a3be99088e,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000155,,https://cocoon.huma-num.fr/data/ridge/20170315b_n01m159.xml,oai:crdo.vjf.cnrs.fr:cocoon-3aada238-ae78-4872-a9df-1fd72295ed2b,
2343,oai:crdo.vjf.cnrs.fr:cocoon-eb4bd8ac-8d60-4b37-955c-7ce36b22e416,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000156,283.0,,,narrative
2344,oai:crdo.vjf.cnrs.fr:cocoon-d1847638-9d36-409f-8d07-cbb7cdb04f09,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000157,,https://cocoon.huma-num.fr/data/ridge/20170320a_p01m160.xml,oai:crdo.vjf.cnrs.fr:cocoon-eb4bd8ac-8d60-4b37-955c-7ce36b22e416,
2345,oai:crdo.vjf.cnrs.fr:cocoon-1d664470-f7a1-432a-944f-199c8cd712d0,2023-01-18,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000158,199.0,,,narrative
2346,oai:crdo.vjf.cnrs.fr:cocoon-8aa138d1-7c30-43f8-86be-3cf3354c4013,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000159,,https://cocoon.huma-num.fr/data/ridge/20170331b_n01s034.xml,oai:crdo.vjf.cnrs.fr:cocoon-1d664470-f7a1-432a-944f-199c8cd712d0,
2347,oai:crdo.vjf.cnrs.fr:cocoon-ddbe38b1-68cf-4567-89ae-6324031acf0f,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000160,463.0,,,narrative
2348,oai:crdo.vjf.cnrs.fr:cocoon-0a269703-925f-4a74-b6e4-67b9d4d7997b,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000161,,https://cocoon.huma-num.fr/data/ridge/20170331c_n01s140.xml,oai:crdo.vjf.cnrs.fr:cocoon-ddbe38b1-68cf-4567-89ae-6324031acf0f,
2349,oai:crdo.vjf.cnrs.fr:cocoon-5a62160f-43fd-4dba-a647-0d4a00a70721,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000162,383.0,,,
2350,oai:crdo.vjf.cnrs.fr:cocoon-226de79a-dfc9-4802-8590-87f269a2e1ac,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000163,,https://cocoon.huma-num.fr/data/ridge/20170406c_n01m165.xml,oai:crdo.vjf.cnrs.fr:cocoon-5a62160f-43fd-4dba-a647-0d4a00a70721,
2351,oai:crdo.vjf.cnrs.fr:cocoon-8b662b00-f215-4ce2-8192-17a0f8f6c3cd,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000164,130.0,,,
2352,oai:crdo.vjf.cnrs.fr:cocoon-547039b2-af81-49e3-a81d-f5c89e03f4d6,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000165,,https://cocoon.huma-num.fr/data/ridge/20170412a_n01m029.xml,oai:crdo.vjf.cnrs.fr:cocoon-8b662b00-f215-4ce2-8192-17a0f8f6c3cd,
2353,oai:crdo.vjf.cnrs.fr:cocoon-2f735be8-6e21-4231-9d79-75f4ff8495cf,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000166,107.0,,,
2354,oai:crdo.vjf.cnrs.fr:cocoon-dea026fb-1226-4376-a162-81fcddb46e23,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000167,,https://cocoon.huma-num.fr/data/ridge/20170412b_n01m167.xml,oai:crdo.vjf.cnrs.fr:cocoon-2f735be8-6e21-4231-9d79-75f4ff8495cf,
2355,oai:crdo.vjf.cnrs.fr:cocoon-5b4bb1cd-6fa5-40fd-ab91-9dde9487a76e,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000168,987.0,,,narrative
2356,oai:crdo.vjf.cnrs.fr:cocoon-65694458-f868-4b15-8755-fd98e0d8e36c,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000169,,https://cocoon.huma-num.fr/data/ridge/20170413a_h01m169.xml,oai:crdo.vjf.cnrs.fr:cocoon-5b4bb1cd-6fa5-40fd-ab91-9dde9487a76e,
